Section,typesense,Data Type,AI Instruction (EN),AI Instruction (AR),
Identity & Pricing,objectID,text,Use exact manufacturer part number.,استخدم رقم الجزء كما هو.,
,mpn_normalized,text,"Lowercase, strip spaces/punctuation; use for exact/synonym search.",حوِّل لحروف صغيرة وأزل المسافات والرموز لاستخدامه في البحث الدقيق والمرادفات.,
,vendor_mpn,text,Keep vendor-provided part number as-is for cross-reference.,احتفظ برقم الجزء من المورد كما هو للمطابقة.,
,sku,text,Internal SKU for ops and UI; don’t display if redundant with MPN.,كود داخلي للاستخدام التشغيلي؛ لا يُعرض إن كان مكررًا مع الـMPN.,
,name,text,Use concise official product name.,استخدم الاسم الرسمي المختصر.,
,brand,text,Normalize vendor name.,استخدم اسم الشركة بدقة.,
,item_type,text,Convert to readable product type.,صنّف نوع المنتج بشكل واضح.,
,category,,Convert to readable product category.,,
,price,number,Numeric unit price only.,السعر للوحدة بدون رموز.,
,list_price,number,List or MSRP if available.,السعر الرسمي إن وُجد.,
,availability,number,"Map: 0 → “Back Order”, 1–9 → “Limited Stock”, ≥10 → “In Stock”.","الخريطة: 0 → ""الطلب المؤجل""، 1–9 → ""المخزون محدود""، ≥10 → ""متوفر في المخزون"".",
,source,text,SQL Vendor field source.,مصدر المورد كما هو.,
,updated_at,datetime,Format ISO 8601.,صيغة تاريخ ISO.,
,Notes,,Get Distribution names in Egypt From a trusted reference,احصل على أسماء التوزيع في مصر من مرجع موثوق,
Media & Documents,image,url,Use https://cdn.quickitquote.com/...,استخدم رابط الصورة من CDN.,
,spec_sheet,url,Use https://cdn.quickitquote.com/specs/...,استخدم رابط ورقة المواصفات.,
Descriptions & Specs,short_description,text,40–60 words marketing summary.,لخص المزايا بلغة تجارية جذابة.,
,purchase_pitch,text,"One-line CTA (≤100 chars), action-oriented.",جملة تحفيزية مختصرة (≤100 حرف) واضحة الفعل.,
,prerequisites,text,Bullet-like lines of pre-install requirements; keep concise.,متطلبات قبل التركيب كسطور قصيرة.,
,ascii_hld,text,High-level ASCII architecture where applicable.,مخطط ASCII عالي المستوى عند الحاجة.,
,ascii_lld,text,Low-level ASCII cabling/ports when relevant.,مخطط ASCII تفصيلي للكبُل/المنافذ عند اللزوم.,
,unit_weight,number,Use as stored in SQL; don’t convert units here.,استخدم القيمة كما هي دون تحويل وحدات.,
,long_description,html,Format as HTML paragraphs + lists.,صِغ الوصف في HTML منسق.,
,specs_table,json,Structured JSON (key/value).,جدول مواصفات بصيغة JSON.,
,features_json,json,Feature list in JSON format.,قائمة المزايا في JSON.,
,faqs,json,Q/A pairs in JSON.,أسئلة وأجوبة بصيغة JSON.,
,value_proposition,html,Short HTML benefit paragraph.,فقرة HTML توضح القيمة الأساسية.,
,use_cases,json,Typical use scenarios.,سيناريوهات الاستخدام.,
,compliance_tags,json,Standards / certifications as array.,شهادات ومعايير الامتثال.,
Rules Engine / Operational,product_rules,html,Rules in HTML list format.,القواعد بصيغة HTML.,
,rule_tag,text,"Short rule label: e.g., “always_bundle”, “ask_before_quote”.",وسم قصير للقواعد مثل “always_bundle”.,
,required_questions,json,JSON array of pre-quote questions.,مصفوفة JSON بأسئلة قبل التسعير.,
,bundle_options,text,CSV of related SKUs to bundle; no spaces.,قائمة SKUs مرتبطة مفصولة بفواصل.,
,bundle_recommended,boolean,“true/false” flag; UI can highlight bundles.,علم “true/false” لتوصية الربط.,
,ai_training_notes,text,Freeform learnings/feedback to guide future AI runs.,ملاحظات تدريب وملحوظات لتحسين التشغيل القادم.,
,ai_log_path,text,Relative path or URL to latest enrichment log.,مسار أو رابط لسجل التخصيب الأخير.,
,priority_level,number,1 (low) .. 5 (high) for merchandising/order.,1 منخفض .. 5 مرتفع لأولوية العرض.,
,enrichment_version,number,Increment on each regeneration; pairs with ai_version.,رقم إصدار يرتفع مع كل إعادة توليد.,
,bundle_score,number,0–100 heuristic that bundle is helpful.,0–100 مؤشر احتمالية جدوى الحزمة.,
,ai_last_check,date,Last human/AI validation date.,تاريخ آخر مراجعة.,
,backup_timestamp,date,Last backup marker for sync audits.,ختم آخر نسخة احتياطية.,
,_ai_processed_at,datetime,ISO 8601 timestamp of last enrichment run.,طابع زمني ISO لآخر تشغيل تخصيب.,
,_source,text,etilize/manual/enrichment etc.,مصدر البيانات: etilize/manual/enrichment…,
,category_rules,html,Category policy rules.,قواعد التصنيف.,
,scope_of_work,html,Scope overview for projects.,وصف نطاق العمل.,
,data_quality_score,number,AI rating 0–100.,تقييم جودة البيانات.,
,risk_score,number,Risk indicator 0–100.,مؤشر المخاطر.,
,ai_confidence,decimal,Model confidence 0–1.,درجة ثقة النموذج.,
,ai_version,text,AI model version name.,إصدار نموذج الذكاء الاصطناعي.,
SEO & Preview,seo_title,text,60 chars SEO title.,عنوان SEO مختصر وجذاب.,
,seo_description,text,150 chars meta description.,وصف SEO احترافي.,
,preview_html,html,HTML card for front-end preview.,HTML مختصر لكارت المنتج.,
Meta & Tags,tags,text,Comma-separated keywords.,كلمات مفتاحية مفصولة بفواصل.,
,synonyms,json,Alternative search terms.,مرادفات بحث بديلة.,
,seo_keywords,text,SEO keywords comma-list.,كلمات SEO مفتاحية.,
Functional Metadata,function_group,Text,"Identify the product’s functional group or category tag retrieved from Etilize, such as Accessories, Compliance, or Server Support. Use it to classify similar items in search facets.","تحديد المجموعة الوظيفية أو فئة المنتج المستخرجة من Etilize مثل الإكسسوارات أو التوافق أو دعم الخوادم، لاستخدامها في تصنيف المنتجات داخل الفلاتر.",
,function_desc,Text,"Extract the functional description or type label from Etilize (e.g., Jumper Cable, Rack Utility Shelf). Display it as a subtitle or supporting line in product listings and quotes.","استخراج الوصف الوظيفي أو نوع العنصر من Etilize مثل ""كابل توصيل"" أو ""رف خادم""، لعرضه كسطر فرعي في صفحات المنتجات أو عروض الأسعار.",
Extended UI & Derived Fields,brand_slug,text,Lowercase normalized brand name for search facets.,اسم الشركة بحروف صغيرة للفلاتر.,
,display_name,text,Concatenated product name for UI display.,اسم المنتج الكامل للعرض.,
,formatted_price,text,Price string with currency.,السعر بصيغة مع العملة.,
,formatted_specs,html,Clean HTML table from specs.,جدول HTML من المواصفات.,
,rich_content,html,Combined long description + features.,دمج الوصف والمزايا.,
,search_keywords,text,Combined tags and synonyms.,كلمات البحث المجمعة.,
,theme_color,text,Primary hex color for UI.,اللون الأساسي للواجهة.,
,highlight_html,boolean,Toggle highlighting in UI.,تفعيل التمييز في الواجهة.,
,content_format,text,Enum: rich_html / plain.,نوع التنسيق.,
,cta_button_text,text,Default CTA button text.,نص زر الدعوة للعمل.,
,cta_url,url,Direct link for CTA action.,الرابط المباشر لزر الدعوة.,
Classification,subcategory,string,"Derive the subcategory based on product hierarchy (e.g., ""Switches → Managed"").","استخرج الفئة الفرعية من هيكل المنتج (مثل: ""سويتش → مدار"").",New
,brand_normalized,string,Generate a lowercase normalized version of the brand name for consistent search.,أنشئ نسخة lowercase موحدة من اسم الماركة لضمان نتائج بحث دقيقة.,New
Pricing,price_usd,float,Convert the product price from EGP to USD using the current exchange rate.,حوّل السعر من الجنيه المصري إلى الدولار الأمريكي بسعر الصرف الحالي.,New
,price_range,string,"Classify price into ""Low"", ""Medium"", or ""High"" tiers based on category average.","صنّف السعر إلى ""منخفض""، ""متوسط""، أو ""مرتفع"" مقارنة بمتوسط الفئة.",New
Inventory,stock_status,string,"Indicate stock status as “In Stock”, “Out of Stock”, or “Preorder”.","حدد حالة التوفر: ""متاح""، ""غير متاح""، أو ""طلب مسبق"".",New
Source Tracking,data_origin,string,"Specify where the record originated (SQL, CSV, WooCommerce, QuoteWerks).","حدد مصدر السجل (SQL، CSV، WooCommerce، QuoteWerks).",New
,data_source,string,"Describe the data ingestion channel (local, API, R2).","وضّح قناة جلب البيانات (محلية، API، أو R2).",New
Promotion,is_promo,bool,Indicate if this product is currently part of an active promotion or discount.,حدد ما إذا كان المنتج داخل عرض أو خصم حالي.,New
,discount,float,Display the percentage discount between list price and actual price.,اعرض نسبة الخصم بين السعر الأصلي والسعر الحالي.,New
Import Management,import_batch,int,"Identify which import batch this product belongs to (e.g., 1, 2, 3...).",حدد رقم دفعة الاستيراد التي ينتمي إليها المنتج (مثل 1 أو 2 أو 3...).,New
Localization,language,string,"Define the content language code (e.g., en, ar).",حدد رمز اللغة للمحتوى (مثل en أو ar).,New
Metadata,created_at,datetime,Store the date when the record was first added to the system.,احفظ تاريخ إضافة السجل لأول مرة للنظام.,New
AI Enrichment,ai_tags,string[],Generate contextual AI tags summarizing the product’s key themes and use cases.,أنشئ وسوم ذكية من الذكاء الاصطناعي تلخص أفكار المنتج واستخداماته.,New
